date,ticker,close,adj_close,volume,unadjusted_volume,est_net_mean_1,est_net_low_1,est_net_high_1,est_net_mean_2,est_net_low_2,est_net_high_2,est_net_mean_3,est_net_low_3,est_net_high_3,est_eps_mean_1,est_eps_low_1,est_eps_high_1,est_eps_mean_2,est_eps_low_2,est_eps_high_2,est_eps_mean_3,est_eps_low_3,est_eps_high_3,adj_dividend_ex,adj_dividend_pay,adj_dividend_dec,weighted_average_shs_out,weighted_average_shs_out_dil,revenue,net_income,cost_of_revenue,gross_profit,gross_profit_ratio,operating_expenses,interest_expense,depreciation_and_amortization,operating_income,cash_and_short_term_investments,net_receivables,inventory,total_current_assets,property_plant_equipment_net,goodwill,intangible_assets,goodwill_and_intangible_assets,total_noncurrent_assets,total_assets,total_current_liabilities,total_noncurrent_liabilities,total_liabilities,retained_earnings,total_stockholders_equity,total_liabilities_and_stockholders_equity,change_in_working_capital,net_cash_provided_by_operating_activities,net_cash_used_for_investing_activites,debt_repayment,common_stock_issued,common_stock_repurchased,net_cash_used_provided_by_financing_activities,net_change_in_cash,capital_expenditure,free_cash_flow,ia_eps_mean,eps_actual,ia_eps_high,ia_eps_low,ia_rps_mean,ia_rps_high,ia_rps_low,rps_actual,ia_net_margin_mean,ia_net_margin_high,ia_net_margin_low,unleveraged_net_tangible_asseets,net_tangible_asseets,ulnta_ps,rev_oulnta,earnings_oulnta,debt_ratio,current_ratio,debt_to_nta,apc_1m_mean,apc_1q_mean,apc_2q_mean,ia_apc_1m_mean,ia_apc_1q_mean,ia_apc_2q_mean,derive_datetime
2003-07-31,LHX,14.526299995454547,10.144307622727272,714850.6818181818,714850.6818181818,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,132215843.61538461,,,,,,,,,,,,,,,,,,227615384.6153846,,2091230769.2307692,,,900846153.8461539,,,,,,,,,,,,,,,,,,,,,,,,,2764461538.4615383,962769230.7692308,20.908700976135254,,,0.430773192084161,,0.9356823266219239,,,,,,,2022-11-09 16:33:54+0000
2003-07-31,LMT,50.56500035909091,29.75089334090909,2316640.909090909,2316640.909090909,1036.09,987.0,1058.0,1132.28,1048.0,1196.0,1426.0,1426.0,1426.0,2.3,2.25,2.35,2.44,2.25,2.6,2.88,2.75,3.0,0.0,0.0,0.0,445916666.6666667,,,,,,,,,,,,,,,,,,8481000000.0,,26001250000.0,,,19616500000.0,,,,,,,,,,,,,,2.448369565217391,,2.471875,2.424864130434783,62.40486857000421,63.36458387665542,59.62625839948648,,0.03923363066570474,0.039010356397379896,0.04066772250219991,37136750000.0,-2096250000.0,83.28181648290038,0.7493216551396585,0.02939860906756394,0.7544444978606798,,-9.357901013714967,-0.001459606112270584,-0.032931790754679925,-0.0007358827020771952,-0.0014879614549921927,0.0029284543236865654,-0.0011771777719186138,2022-11-09 16:33:57+0000
2003-07-31,HEI,2.299067890909091,2.079654759090909,139355.5909090909,139355.5909090909,14.14,11.6,15.51,20.0,18.09,21.9,,,,0.1,0.1,0.1,0.15,0.14,0.15,,,,0.00015387096774193549,0.0,0.0,118834208.25,,,,,,,,,,,,,,,,,,188895500.0,,334016000.0,,,76100500.0,,,,,,,,,,,,,,0.12685745856353592,,0.10365303867403317,0.12105635359116022,1.470392589808157,1.4911046328292217,1.4453495748829597,,0.08627454969702146,0.06951426237430562,0.08375576102477701,221221000.0,69020000.0,1.8615935870469351,0.7898569269035008,0.06814455069367273,0.22783489413680783,,1.1025862068965517,-0.022249900922833077,-0.09418674540172407,-0.06282313525949579,-0.0040294361686242786,0.006129869730051067,0.01559066030765315,2022-11-09 16:32:27+0000
2003-07-31,GD,38.18477197272727,25.26176270454545,2459763.6363636362,2459763.6363636362,966.09,917.0,995.0,1047.64,951.0,1105.0,1163.5,1082.0,1245.0,2.46,2.35,2.58,2.71,2.6,2.9,3.02,2.95,3.08,0.005161290322580645,0.0,0.0,398552500.0,,,,,,,,,,,,,,,,,,5845083333.333334,,14328000000.0,,,8707833333.333332,,,,,,,,,,,,,,2.4941922190712513,,2.556634615384615,2.4436826479971643,36.23406481716523,36.63929062187801,35.81750141415349,,0.06883556210590187,0.06977849658088087,0.0682259384802182,17190750000.0,-224916666.66666603,43.13296240771291,0.8400550946318949,0.057825664638913074,0.6077493951237669,,-38.71582067432393,0.06324610915126916,0.014932284492660227,0.023412260010441815,0.014623097691501274,0.00707787184065282,0.0060270008285653875,2022-11-09 16:31:40+0000
2003-07-31,AJRD,9.08818180909091,8.095565686363637,108936.36363636363,108936.36363636363,,,,,,,,,,,,,,,,,,,0.0013636363636363635,0.0013636363636363635,0.0013636363636363635,43133333.333333336,,,,,,,,,,,,,,,,,,173333333.33333334,,1816666666.6666667,,,1411333333.3333333,,,,,,,,,,,,,,,,,,,,,,,,,3054666666.6666665,232000000.00000015,70.81916537867077,,,0.776880733944954,,6.0833333333333295,,,,,,,2022-11-09 16:29:20+0000
2003-07-31,TXT,20.414772636363637,17.52134425909091,2365963.6363636362,2365963.6363636362,359.67,304.0,481.0,348.32,316.0,386.0,,,,1.2,1.1,1.28,1.35,1.15,1.5,,,,0.0,0.005241935483870968,0.005241935483870968,277230769.2307692,,,,,,,,,,,,,,,,,,1630384615.3846154,,15281538461.538462,,,11722615384.615385,,,,,,,,,,,,,,1.3619541778975741,,1.3994743935309972,1.408854447439353,36.532158202524684,37.13226823590402,35.72630104017399,,0.03728096682236122,0.03768890132539262,0.039434657560969026,25373769230.76923,1928538461.5384612,91.52580466148724,0.3991459931725342,0.014880548528743666,0.7671096345514951,,6.078497068325955,-0.07602210632495987,-0.0428726628854173,-0.09241785220467454,-0.025593926676291567,-0.030474926633356863,-0.022929815219663124,2022-11-09 16:37:34+0000
2003-08-31,LHX,14.992626366666668,10.4699613,560733.380952381,560733.380952381,,,,,,,,,,,,,,,,,,,0.0,0.0022495238095238093,0.0022495238095238093,132209465.23076923,,,,,,,,,,,,,,,,,,227230769.23076922,,2102461538.4615386,,,904692307.6923077,,,,,,,,,,,,,,,,,,,,,,,,,2779923076.923077,970538461.5384617,21.026656995176342,,,0.43030147812088393,,0.9321550289292223,,,,,,,2022-11-09 16:33:54+0000
2003-08-31,NOC,42.1814032,27.810254409523807,1999631.0952380951,1999631.0952380951,790.95,721.0,865.5,928.17,854.0,1025.0,1106.35,1029.7,1183.0,2.09,2.0,2.17,2.45,2.32,2.67,2.75,2.57,3.0,0.005829032258064516,0.005829032258064516,0.005829032258064516,320506666.6666667,,,,,,,,,,,,,,,,,,18765333333.333332,,36094666666.666664,,,20742333333.333332,,,,,,,,,,,,,,2.3976344086021504,,2.462150537634409,2.386868713146028,67.76217880157492,68.50281046728043,67.21128234007566,,0.035383077271217034,0.035942328801391685,0.035512917326423706,38071666666.66667,-3413000000.0,118.78588068890923,0.5704565088761574,0.020184506733433784,0.574664770418529,,-6.07744896962594,0.06287363756367559,0.01563910827288706,-0.02135911882876701,-0.03031777973631622,-0.03060347667199259,-0.029578883409991468,2022-11-09 16:34:41+0000
2003-08-31,HXL,5.189523785714286,4.936454052380952,32261.904761904763,32261.904761904763,,,,,,,,,,-0.2,-0.2,-0.2,-0.07,-0.07,-0.07,,,,0.0,0.0,0.0,38533333.333333336,,,,,,,,,,,,,,,,,,76066666.66666667,,717833333.3333334,,,822566666.6666666,,,,,,,,,,,,,,,,,,,,,,,,,1464333333.3333333,-180799999.99999994,38.001730103806224,,,1.1459020199674947,,-4.549594395280237,,,,,,,2022-11-09 16:32:39+0000
2003-08-31,TXT,21.60904765238095,18.546353552380953,1104076.1904761905,1104076.1904761905,351.5,299.48,481.0,361.05,316.0,388.0,,,,1.25,1.23,1.28,1.32,1.2,1.43,,,,0.0,0.0,0.0,276692307.6923077,,,,,,,,,,,,,,,,,,1630153846.1538463,,15249615384.615385,,,11668846153.846153,,,,,,,,,,,,,,1.3530197374141377,,1.3806738544474393,1.3685540387792365,36.39522605194887,37.156089967349295,35.389097500967935,,0.037175747596206704,0.037158749902390126,0.038671628705473624,25288307692.307693,1950615384.6153855,91.39505143174868,0.39821878189026266,0.014804080923621295,0.7651895381976846,,5.982135815127373,0.031484387203861486,-0.022268859560549192,-0.10428343408112324,-0.010308278849469388,-0.020161072418488486,-0.02450406345075044,2022-11-09 16:37:34+0000
